customer_id,total_orders,total_revenue,recency_days,priority_score,acquisition_channel,preferred_category,category_revenue,customer_revenue_share,preference_strength,recommended_strategy,action_priority,recommended_action,business_recommendation
CUST019255,9,118694.06,362,88.99924193968683,Organic Search,Beauty,44190.1,35.673858200972774,Mixed,Immediate - Broad personalized re-engagement,Immediate Action,Urgent Retention Campaign,Urgent Retention Campaign with personalized Beauty recommendations. Test multiple offers to identify the strongest response.
CUST000527,11,100754.2,332,88.5371804894227,Instagram,Beauty,44778.47,43.70900249778445,Mixed,Immediate - Broad personalized re-engagement,Immediate Action,Urgent Retention Campaign,Urgent Retention Campaign with personalized Beauty recommendations. Test multiple offers to identify the strongest response.
CUST021374,9,48963.63,466,88.50508137303675,Organic Search,Electronics,23174.24,44.505814656922375,Mixed,Immediate - Broad personalized re-engagement,Immediate Action,Re-Engagement Campaign,Re-Engagement Campaign with personalized Electronics recommendations. Test multiple offers to identify the strongest response.
CUST023638,10,102612.83,323,87.69893160874614,Referral,Fashion,48330.86,43.503157950828,Mixed,High - Broad personalized re-engagement,Immediate Action,Urgent Retention Campaign,Urgent Retention Campaign with personalized Fashion recommendations. Test multiple offers to identify the strongest response.
CUST022178,12,96931.92,307,87.57385165707245,Organic Search,Sports,28109.92,28.297247780305625,Mixed,High - Broad personalized re-engagement,Immediate Action,Urgent Retention Campaign,Urgent Retention Campaign with personalized Sports recommendations. Test multiple offers to identify the strongest response.
CUST049785,10,47523.36,419,87.41454054438208,Affiliate,Home & Kitchen,18042.28,29.260753346478463,Mixed,High - Broad personalized re-engagement,Immediate Action,Re-Engagement Campaign,Re-Engagement Campaign with personalized Home & Kitchen recommendations. Test multiple offers to identify the strongest response.
CUST047664,8,62362.05,393,87.30663539667876,Email,Fashion,46692.46,64.34840849784219,Moderate,High - Category-focused re-engagement,Immediate Action,High-Value Win-Back Campaign,High-Value Win-Back Campaign with a Fashion-focused offer. Use personalized recommendations to encourage re-purchase.
CUST043927,8,55820.01,414,87.19304479662662,Organic Search,Beauty,20830.550000000003,37.3173526841002,Mixed,High - Broad personalized re-engagement,Immediate Action,High-Value Win-Back Campaign,High-Value Win-Back Campaign with personalized Beauty recommendations. Test multiple offers to identify the strongest response.
CUST030558,8,77339.89,344,86.55011489351622,Referral,Electronics,27178.52,35.14165846369836,Mixed,High - Broad personalized re-engagement,Immediate Action,Urgent Retention Campaign,Urgent Retention Campaign with personalized Electronics recommendations. Test multiple offers to identify the strongest response.
CUST047284,6,61035.4,441,86.49776135313766,Referral,Electronics,32610.82,53.42935411253143,Moderate,High - Category-focused re-engagement,Immediate Action,High-Value Win-Back Campaign,High-Value Win-Back Campaign with a Electronics-focused offer. Use personalized recommendations to encourage re-purchase.
CUST005617,13,63538.08,312,86.45689716438063,Instagram,Fashion,30636.84,39.54796046241808,Mixed,High - Broad personalized re-engagement,Immediate Action,Urgent Retention Campaign,Urgent Retention Campaign with personalized Fashion recommendations. Test multiple offers to identify the strongest response.
CUST007223,9,47578.670000000006,406,86.4223106625921,Instagram,Home & Kitchen,33926.66,71.30644887719644,Strong,High - Personalized preferred-category offer,Immediate Action,Re-Engagement Campaign,Re-Engagement Campaign focused on Home & Kitchen. Customer shows a strong preference for this category.
CUST007642,7,44194.4,483,86.34401724587212,Email,Home & Kitchen,17615.0,39.85799105769057,Mixed,High - Broad personalized re-engagement,Immediate Action,Re-Engagement Campaign,Re-Engagement Campaign with personalized Home & Kitchen recommendations. Test multiple offers to identify the strongest response.
CUST049433,9,109248.77,304,86.21585767417619,Organic Search,Electronics,77280.86000000002,60.9928672760887,Moderate,High - Category-focused re-engagement,Immediate Action,Urgent Retention Campaign,Urgent Retention Campaign with a Electronics-focused offer. Use personalized recommendations to encourage re-purchase.
CUST000840,5,50181.19,526,85.6509842939379,Instagram,Home & Kitchen,20720.4,35.961272955891886,Mixed,Standard - Broad personalized re-engagement,Immediate Action,High-Value Win-Back Campaign,High-Value Win-Back Campaign with personalized Home & Kitchen recommendations. Test multiple offers to identify the strongest response.
CUST019017,7,49479.97,424,85.62765024992301,Organic Search,Electronics,33893.65,68.49973837898446,Moderate,Standard - Category-focused re-engagement,Immediate Action,Re-Engagement Campaign,Re-Engagement Campaign with a Electronics-focused offer. Use personalized recommendations to encourage re-purchase.
CUST032397,5,46035.77,555,85.56060929097671,Google Ads,Sports,17613.940000000002,38.26142149897786,Mixed,Standard - Broad personalized re-engagement,Immediate Action,Re-Engagement Campaign,Re-Engagement Campaign with personalized Sports recommendations. Test multiple offers to identify the strongest response.
