ticket_id,customer_id,ticket_date,issue_type,resolution_time_hours,satisfaction_score,resolved
TICK000001,CUST017707,2024-03-13,Refund,53.6,4.6,Yes
TICK000002,CUST037661,2025-04-25,Payment Issue,8.5,4.7,No
TICK000003,CUST043233,2024-05-02,Account Access,17.6,2.9,Yes
TICK000004,CUST036714,2024-01-06,Cancellation,13.2,3.3,Yes
TICK000005,CUST017327,2025-03-07,Product Quality,19.8,2.9,Yes
TICK000006,CUST024907,2025-09-04,Product Quality,34.2,2.4,Yes
TICK000007,CUST013911,2024-10-31,Delivery Delay,22.2,4.0,Yes
TICK000008,CUST045034,2025-07-19,Product Quality,16.7,2.9,Yes
TICK000009,CUST014919,2024-07-04,Account Access,21.1,3.7,Yes
TICK000010,CUST039506,2024-01-28,Cancellation,13.5,2.0,Yes
TICK000011,CUST047391,2025-06-04,Refund,15.7,2.3,Yes
TICK000012,CUST005567,2024-05-14,Delivery Delay,19.7,3.7,Yes
TICK000013,CUST048454,2024-02-21,Account Access,21.5,3.7,Yes
TICK000014,CUST003998,2024-05-05,Payment Issue,36.2,4.2,Yes
TICK000015,CUST034935,2024-10-26,Delivery Delay,25.6,5.0,Yes
TICK000016,CUST005016,2025-07-29,Account Access,14.1,4.1,Yes
TICK000017,CUST001448,2024-10-02,Delivery Delay,13.9,4.3,Yes
TICK000018,CUST041664,2024-02-19,Product Information,23.6,3.7,Yes
TICK000019,CUST014928,2025-07-06,Delivery Delay,14.3,4.0,No
TICK000020,CUST029136,2024-01-10,Refund,5.9,1.8,Yes
TICK000021,CUST005602,2024-12-05,Refund,17.1,3.5,Yes
TICK000022,CUST011096,2025-11-29,Product Quality,10.3,3.8,Yes
TICK000023,CUST030127,2025-11-01,Payment Issue,3.5,4.4,Yes
TICK000024,CUST016489,2025-04-24,Account Access,46.4,3.0,Yes
TICK000025,CUST032786,2025-02-09,Cancellation,15.2,3.8,Yes
TICK000026,CUST046387,2025-10-01,Product Quality,34.6,4.6,Yes
TICK000027,CUST046534,2025-03-05,Delivery Delay,6.2,5.0,Yes
TICK000028,CUST038344,2025-01-24,Delivery Delay,21.2,3.6,Yes
TICK000029,CUST031423,2024-01-22,Delivery Delay,37.6,4.0,Yes
TICK000030,CUST037608,2025-08-26,Product Quality,11.7,4.0,Yes
TICK000031,CUST019970,2024-06-27,Refund,57.5,2.8,Yes
TICK000032,CUST049635,2024-09-05,Product Quality,58.7,4.4,Yes
TICK000033,CUST033120,2024-01-28,Product Quality,24.4,2.5,Yes
TICK000034,CUST003443,2024-10-13,Account Access,11.2,3.6,Yes
