customer_id,signup_date,gender,age,city,state,acquisition_channel,customer_type,income_band
CUST000001,2024-02-29,Non-binary,33,Chandigarh,Chandigarh,Email,Loyal,Middle
CUST000002,2025-06-01,Male,34,Hyderabad,Telangana,Email,Returning,Upper-Middle
CUST000003,2025-03-13,Male,19,Ahmedabad,Gujarat,Referral,Loyal,Lower-Middle
CUST000004,2024-10-20,Female,38,Bengaluru,Karnataka,Referral,Loyal,Upper-Middle
CUST000005,2024-10-16,Male,42,Ahmedabad,Gujarat,Google Ads,New,Middle
CUST000006,2025-07-28,Female,38,Delhi,Delhi,Instagram,Loyal,Lower-Middle
CUST000007,2024-02-27,Female,57,Pune,Maharashtra,Google Ads,Returning,Middle
CUST000008,2025-04-11,Male,25,Surat,Gujarat,Organic Search,Loyal,Low
CUST000009,2024-05-14,Male,18,Mumbai,Maharashtra,Instagram,Loyal,Low
CUST000010,2024-03-04,Male,22,Chandigarh,Chandigarh,Google Ads,Loyal,Low
CUST000011,2024-12-18,Female,35,Jaipur,Rajasthan,Referral,Loyal,Middle
CUST000012,2025-10-14,Male,46,Jaipur,Rajasthan,Google Ads,Returning,Lower-Middle
CUST000013,2025-05-07,Male,36,Mumbai,Maharashtra,Affiliate,New,Lower-Middle
CUST000014,2025-05-24,Male,29,Nagpur,Maharashtra,Google Ads,Loyal,High
CUST000015,2025-04-24,Female,49,Nagpur,Maharashtra,Email,New,Middle
CUST000016,2025-06-09,Female,33,Surat,Gujarat,Affiliate,Returning,Low
CUST000017,2024-12-09,Female,20,Kolkata,West Bengal,Instagram,New,Middle
CUST000018,2024-03-26,Female,44,Delhi,Delhi,Organic Search,New,Middle
CUST000019,2025-07-15,Male,40,Surat,Gujarat,Organic Search,Returning,Middle
CUST000020,2024-10-28,Male,36,Kochi,Kerala,Affiliate,Loyal,Middle
CUST000021,2024-11-30,Female,50,Jaipur,Rajasthan,Referral,Loyal,Low
CUST000022,2024-09-05,Female,33,Surat,Gujarat,Organic Search,Returning,Lower-Middle
CUST000023,2024-05-02,Female,37,Chennai,Tamil Nadu,Instagram,Returning,Lower-Middle
CUST000024,2025-09-12,Male,24,Bengaluru,Karnataka,Instagram,Returning,High
CUST000025,2025-06-06,Female,27,Hyderabad,Telangana,Referral,Returning,Middle
CUST000026,2025-03-06,Male,29,Kochi,Kerala,Google Ads,Loyal,Lower-Middle
CUST000027,2024-09-26,Female,41,Indore,Madhya Pradesh,Referral,Loyal,Upper-Middle
CUST000028,2025-07-04,Female,27,Kochi,Kerala,Email,Loyal,Upper-Middle
CUST000029,2024-12-30,Female,33,Pune,Maharashtra,Instagram,New,Middle
CUST000030,2024-10-23,Female,32,Indore,Madhya Pradesh,Organic Search,Returning,Middle
CUST000031,2024-10-28,Female,33,Chandigarh,Chandigarh,Organic Search,New,Lower-Middle
CUST000032,2024-06-01,Female,26,Delhi,Delhi,Email,Loyal,Middle
CUST000033,2024-03-02,Female,32,Indore,Madhya Pradesh,Affiliate,Returning,Upper-Middle
CUST000034,2025-01-06,Male,22,Surat,Gujarat,Organic Search,Returning,Lower-Middle
CUST000035,2025-08-16,Male,34,Lucknow,Uttar Pradesh,Referral,Returning,Middle
CUST000036,2024-02-12,Female,34,Mumbai,Maharashtra,Referral,Returning,Middle
CUST000037,2025-07-28,Female,35,Lucknow,Uttar Pradesh,Organic Search,Returning,Middle
CUST000038,2025-07-07,Female,40,Chennai,Tamil Nadu,Instagram,Loyal,Upper-Middle
CUST000039,2024-07-04,Male,52,Chandigarh,Chandigarh,Google Ads,Loyal,Middle
CUST000040,2025-02-26,Male,18,Mumbai,Maharashtra,Organic Search,New,Upper-Middle
CUST000041,2024-04-20,Male,30,Mumbai,Maharashtra,Affiliate,New,Middle
CUST000042,2025-05-22,Non-binary,25,Kochi,Kerala,Organic Search,Returning,Low
CUST000043,2025-04-13,Male,37,Hyderabad,Telangana,Organic Search,New,Middle
CUST000044,2024-08-25,Male,41,Kolkata,West Bengal,Email,Loyal,Low
CUST000045,2024-02-15,Male,22,Surat,Gujarat,Google Ads,New,Middle
CUST000046,2025-10-11,Female,37,Hyderabad,Telangana,Affiliate,New,Lower-Middle
CUST000047,2024-10-25,Male,43,Chennai,Tamil Nadu,Organic Search,Loyal,Middle
CUST000048,2025-08-20,Female,38,Hyderabad,Telangana,Google Ads,Returning,Middle
CUST000049,2025-03-29,Male,31,Kochi,Kerala,Referral,Loyal,Lower-Middle
CUST000050,2025-06-04,Male,41,Pune,Maharashtra,Organic Search,Returning,Middle
CUST000051,2025-05-23,Male,31,Ahmedabad,Gujarat,Google Ads,Loyal,Lower-Middle
CUST000052,2024-05-10,Male,43,Delhi,Delhi,Google Ads,Returning,Middle
CUST000053,2024-08-31,Female,38,Pune,Maharashtra,Referral,Loyal,Middle
CUST000054,2024-11-08,Female,32,Indore,Madhya Pradesh,Organic Search,New,Upper-Middle
CUST000055,2024-11-29,Female,21,Indore,Madhya Pradesh,Instagram,Returning,Low
CUST000056,2024-01-30,Female,34,Chandigarh,Chandigarh,Google Ads,Returning,Middle
CUST000057,2024-12-31,Male,23,Lucknow,Uttar Pradesh,Affiliate,Loyal,Lower-Middle
CUST000058,2024-04-13,Female,23,Nagpur,Maharashtra,Referral,New,Middle
CUST000059,2025-05-12,Male,31,Kolkata,West Bengal,Affiliate,Returning,Middle
CUST000060,2025-04-01,Female,33,Bengaluru,Karnataka,Organic Search,New,Upper-Middle
CUST000061,2025-09-09,Female,22,Nagpur,Maharashtra,Affiliate,Returning,Middle
CUST000062,2025-05-13,Male,32,Chennai,Tamil Nadu,Email,New,Upper-Middle
CUST000063,2024-09-02,Male,32,Chennai,Tamil Nadu,Organic Search,New,Middle
CUST000064,2025-10-09,Male,28,Mumbai,Maharashtra,Referral,Returning,Low
CUST000065,2024-10-01,Male,31,Kolkata,West Bengal,Referral,Loyal,Lower-Middle
CUST000066,2024-08-05,Female,40,Chennai,Tamil Nadu,Referral,Loyal,Middle
CUST000067,2025-08-28,Non-binary,30,Kolkata,West Bengal,Organic Search,Returning,Upper-Middle
CUST000068,2024-09-04,Male,40,Hyderabad,Telangana,Google Ads,Returning,Upper-Middle
CUST000069,2024-02-21,Female,33,Mumbai,Maharashtra,Organic Search,Returning,Middle
CUST000070,2024-11-10,Female,44,Kochi,Kerala,Affiliate,New,Lower-Middle
CUST000071,2025-06-16,Male,42,Indore,Madhya Pradesh,Referral,New,Middle
CUST000072,2024-05-06,Male,32,Indore,Madhya Pradesh,Affiliate,New,Middle
CUST000073,2024-11-05,Male,27,Nagpur,Maharashtra,Organic Search,Loyal,Middle
CUST000074,2024-03-27,Female,39,Kolkata,West Bengal,Google Ads,Loyal,Upper-Middle
CUST000075,2025-04-04,Male,29,Kolkata,West Bengal,Instagram,Returning,Upper-Middle
CUST000076,2024-11-14,Male,18,Ahmedabad,Gujarat,Google Ads,Returning,Middle
CUST000077,2024-08-08,Male,41,Lucknow,Uttar Pradesh,Referral,Returning,Lower-Middle
CUST000078,2024-05-31,Female,28,Lucknow,Uttar Pradesh,Affiliate,New,Lower-Middle
CUST000079,2025-01-12,Female,18,Surat,Gujarat,Instagram,Returning,Upper-Middle
CUST000080,2025-03-24,Male,33,Jaipur,Rajasthan,Email,Returning,Middle
CUST000081,2025-09-21,Female,43,Hyderabad,Telangana,Email,New,Middle
CUST000082,2024-10-19,Female,28,Nagpur,Maharashtra,Google Ads,New,Lower-Middle
CUST000083,2024-04-17,Male,31,Delhi,Delhi,Instagram,New,Middle
CUST000084,2025-07-11,Male,39,Mumbai,Maharashtra,Instagram,Returning,Upper-Middle
CUST000085,2025-02-25,Male,29,Nagpur,Maharashtra,Referral,Loyal,Middle
CUST000086,2025-04-13,Male,33,Lucknow,Uttar Pradesh,Referral,Returning,Lower-Middle
CUST000087,2024-03-06,Female,43,Delhi,Delhi,Email,Returning,Lower-Middle
CUST000088,2024-07-27,Female,41,Delhi,Delhi,Affiliate,Loyal,Lower-Middle
CUST000089,2025-05-28,Female,36,Kolkata,West Bengal,Google Ads,New,Middle
CUST000090,2025-07-10,Male,18,Jaipur,Rajasthan,Google Ads,Loyal,Middle
CUST000091,2024-10-18,Female,40,Bengaluru,Karnataka,Organic Search,New,Lower-Middle
CUST000092,2025-06-22,Male,30,Chennai,Tamil Nadu,Instagram,Loyal,Middle
CUST000093,2025-07-17,Male,39,Surat,Gujarat,Instagram,Returning,Low
CUST000094,2024-09-16,Male,19,Lucknow,Uttar Pradesh,Email,New,Middle
CUST000095,2025-08-23,Female,43,Chennai,Tamil Nadu,Affiliate,Returning,High
CUST000096,2024-07-11,Female,26,Lucknow,Uttar Pradesh,Google Ads,New,Middle
CUST000097,2024-06-09,Female,38,Kolkata,West Bengal,Affiliate,Returning,Low
CUST000098,2025-04-01,Female,43,Surat,Gujarat,Organic Search,Returning,Middle
CUST000099,2025-03-01,Male,38,Chandigarh,Chandigarh,Referral,New,Upper-Middle
CUST000100,2024-04-03,Male,38,Bengaluru,Karnataka,Google Ads,Returning,Lower-Middle
CUST000101,2025-07-11,Female,35,Chandigarh,Chandigarh,Google Ads,Loyal,Middle
CUST000102,2024-05-13,Female,22,Chandigarh,Chandigarh,Instagram,Returning,Upper-Middle
CUST000103,2025-06-22,Female,47,Lucknow,Uttar Pradesh,Referral,New,Low
CUST000104,2024-01-05,Male,45,Indore,Madhya Pradesh,Organic Search,Returning,Middle
CUST000105,2025-06-17,Non-binary,30,Lucknow,Uttar Pradesh,Instagram,Returning,Middle
CUST000106,2025-06-10,Male,18,Lucknow,Uttar Pradesh,Organic Search,New,Lower-Middle
CUST000107,2025-06-06,Male,44,Pune,Maharashtra,Organic Search,Loyal,Middle
CUST000108,2025-03-20,Male,18,Kolkata,West Bengal,Organic Search,New,Upper-Middle
CUST000109,2024-11-11,Male,39,Nagpur,Maharashtra,Referral,Returning,Middle
CUST000110,2025-04-16,Female,27,Jaipur,Rajasthan,Organic Search,Returning,Middle
CUST000111,2024-07-04,Female,39,Jaipur,Rajasthan,Organic Search,Returning,Middle
CUST000112,2025-06-06,Male,24,Mumbai,Maharashtra,Instagram,Returning,Lower-Middle
CUST000113,2025-01-06,Male,34,Ahmedabad,Gujarat,Organic Search,New,Middle
CUST000114,2024-11-03,Female,18,Pune,Maharashtra,Referral,Returning,Middle
