order_id,customer_id,order_date,payment_method,shipping_type,order_status,total_amount,discount_amount,shipping_cost
ORD0000001,CUST010027,2024-10-23,Credit Card,Same Day,Completed,1380.24,185.12,258.39
ORD0000002,CUST008221,2024-06-26,UPI,Standard,Completed,972.06,258.6,90.82
ORD0000003,CUST025983,2024-09-20,Credit Card,Same Day,Completed,265.85,52.96,212.02
ORD0000004,CUST032537,2025-06-15,UPI,Express,Completed,7780.1,538.06,198.35
ORD0000005,CUST030802,2024-10-02,COD,Standard,Completed,3196.02,346.68,59.09
ORD0000006,CUST011220,2025-09-07,Debit Card,Standard,Completed,1051.42,262.94,69.77
ORD0000007,CUST008175,2025-07-16,Debit Card,Standard,Completed,2472.24,587.28,47.31
ORD0000008,CUST000972,2024-11-13,COD,Standard,Completed,10603.04,775.66,83.68
ORD0000009,CUST023303,2025-08-09,Debit Card,Standard,Completed,5880.41,988.09,42.55
ORD0000010,CUST002309,2025-11-05,UPI,Standard,Completed,8315.34,962.45,92.12
ORD0000011,CUST034012,2025-01-14,UPI,Standard,Completed,3114.86,591.82,69.25
ORD0000012,CUST006626,2024-02-11,Debit Card,Standard,Completed,15784.54,1877.75,80.57
ORD0000013,CUST032973,2024-04-13,UPI,Standard,Completed,1710.32,355.98,52.98
ORD0000014,CUST034719,2025-11-02,Debit Card,Express,Completed,4221.98,525.26,159.14
ORD0000015,CUST039456,2024-10-09,Net Banking,Express,Completed,12865.22,2956.9,147.26
ORD0000016,CUST020916,2025-09-29,Credit Card,Standard,Completed,11422.11,1627.04,87.98
ORD0000017,CUST021801,2024-12-17,UPI,Express,Completed,10802.0,1385.1,138.86
ORD0000018,CUST030110,2024-11-30,UPI,Standard,Completed,19662.11,3721.39,93.59
ORD0000019,CUST046425,2025-03-31,UPI,Standard,Completed,2820.4,354.78,49.2
ORD0000020,CUST015154,2024-10-26,UPI,Standard,Completed,680.52,176.3,40.88
ORD0000021,CUST017684,2025-03-09,Debit Card,Standard,Completed,21640.98,1987.35,91.26
ORD0000022,CUST004002,2024-01-08,UPI,Standard,Completed,6189.16,711.9,90.07
ORD0000023,CUST032698,2024-12-26,Credit Card,Standard,Completed,1704.38,257.44,69.86
ORD0000024,CUST016621,2025-06-06,Net Banking,Standard,Completed,2590.77,181.1,45.43
ORD0000025,CUST049181,2025-11-02,Debit Card,Standard,Completed,7203.91,833.66,52.46
ORD0000026,CUST037637,2025-03-30,Debit Card,Same Day,Completed,6858.75,1024.44,268.95
ORD0000027,CUST036712,2025-11-16,Wallet,Same Day,Completed,750.61,38.02,188.43
ORD0000028,CUST046317,2024-10-08,Debit Card,Standard,Completed,8672.46,449.52,66.83
ORD0000029,CUST017167,2024-08-21,Wallet,Standard,Completed,5569.0,592.26,94.84
ORD0000030,CUST004648,2024-03-12,Debit Card,Standard,Completed,17869.38,3739.01,59.47
ORD0000031,CUST028451,2025-12-06,Credit Card,Standard,Completed,5756.44,1311.08,59.38
ORD0000032,CUST033191,2024-02-06,UPI,Standard,Completed,1099.83,198.16,77.72
ORD0000033,CUST041331,2025-03-13,Credit Card,Express,Cancelled,2748.87,206.73,123.44
ORD0000034,CUST007763,2024-02-11,UPI,Standard,Completed,4208.25,594.85,78.09
ORD0000035,CUST022038,2025-02-23,Credit Card,Express,Completed,2050.08,334.5,90.75
ORD0000036,CUST023039,2024-04-28,UPI,Express,Completed,750.55,9.64,185.28
ORD0000037,CUST010100,2024-09-25,Credit Card,Standard,Completed,5736.48,326.2,64.71
ORD0000038,CUST019713,2024-10-29,Wallet,Standard,Completed,441.21,22.83,76.04
ORD0000039,CUST003852,2024-01-02,Debit Card,Express,Completed,1106.33,0.0,179.41
ORD0000040,CUST009529,2025-03-18,UPI,Standard,Completed,2859.65,704.63,53.84
ORD0000041,CUST012650,2024-11-19,UPI,Standard,Completed,3729.54,940.73,67.71
ORD0000042,CUST044505,2025-09-28,Credit Card,Express,Completed,8247.04,1420.69,106.46
ORD0000043,CUST024402,2024-01-23,Net Banking,Express,Completed,9732.22,558.45,131.36
ORD0000044,CUST001477,2025-05-11,UPI,Same Day,Completed,3799.24,45.38,307.69
ORD0000045,CUST043167,2024-08-26,UPI,Standard,Completed,22956.81,664.35,88.96
ORD0000046,CUST029289,2025-05-10,UPI,Standard,Completed,1567.12,0.0,93.1
ORD0000047,CUST009661,2025-03-23,Credit Card,Standard,Completed,764.73,0.0,43.21
ORD0000048,CUST022857,2024-02-07,Net Banking,Same Day,Completed,2123.21,221.52,181.92
ORD0000049,CUST048636,2024-05-26,UPI,Express,Completed,3307.6,496.92,103.59
ORD0000050,CUST042648,2024-07-06,UPI,Express,Completed,3732.42,217.23,195.36
ORD0000051,CUST044881,2024-02-23,UPI,Standard,Completed,3292.84,70.69,67.34
ORD0000052,CUST013758,2025-07-07,Credit Card,Standard,Completed,1096.38,28.3,70.49
ORD0000053,CUST024091,2025-03-24,Credit Card,Express,Completed,9489.21,1415.59,105.13
ORD0000054,CUST046146,2024-09-26,Debit Card,Standard,Completed,114.28,3.62,79.0
ORD0000055,CUST037970,2024-04-03,UPI,Same Day,Completed,5279.21,1370.12,194.65
ORD0000056,CUST003068,2025-09-18,UPI,Express,Returned,2746.24,426.0,146.79
ORD0000057,CUST008276,2024-12-06,Net Banking,Express,Completed,2705.66,249.94,173.17
ORD0000058,CUST012805,2025-11-14,Debit Card,Express,Completed,1273.94,143.78,106.44
ORD0000059,CUST033865,2025-10-11,Debit Card,Standard,Completed,10551.31,85.13,54.76
ORD0000060,CUST027707,2025-03-04,UPI,Standard,Returned,3211.76,633.14,44.07
ORD0000061,CUST020182,2024-04-27,Credit Card,Standard,Completed,11002.58,588.16,73.61
ORD0000062,CUST012657,2024-12-15,Net Banking,Standard,Cancelled,1379.58,22.83,90.18
ORD0000063,CUST017156,2025-12-04,Credit Card,Standard,Completed,4374.44,268.66,74.71
ORD0000064,CUST002607,2025-08-10,UPI,Standard,Completed,230.03,16.64,45.94
ORD0000065,CUST021840,2024-02-16,UPI,Standard,Returned,1473.23,262.11,71.13
ORD0000066,CUST047793,2024-12-09,UPI,Express,Completed,9318.78,507.99,198.27
ORD0000067,CUST042075,2025-12-22,Net Banking,Express,Completed,4796.95,127.92,123.27
ORD0000068,CUST045661,2024-04-13,Debit Card,Standard,Completed,6862.67,267.98,56.23
ORD0000069,CUST011423,2024-01-27,UPI,Same Day,Completed,3488.81,387.67,228.52
ORD0000070,CUST019269,2025-01-29,UPI,Standard,Completed,5456.17,547.68,71.95
ORD0000071,CUST011209,2025-10-10,Credit Card,Standard,Completed,11616.72,2493.54,95.2
ORD0000072,CUST005228,2024-11-01,COD,Standard,Completed,3502.42,0.0,71.34
ORD0000073,CUST007241,2024-05-03,UPI,Standard,Completed,5224.15,376.53,89.4
ORD0000074,CUST044512,2024-10-28,Credit Card,Standard,Completed,1457.51,226.46,51.42
ORD0000075,CUST038357,2025-04-28,Debit Card,Standard,Returned,4520.88,404.25,60.06
ORD0000076,CUST019865,2024-12-25,Net Banking,Standard,Completed,3248.88,112.0,70.92
ORD0000077,CUST023880,2024-09-22,Debit Card,Same Day,Completed,6206.02,1206.71,203.75
ORD0000078,CUST001039,2024-06-26,UPI,Standard,Completed,10777.32,1752.19,62.63
ORD0000079,CUST005280,2024-06-08,COD,Standard,Completed,2609.81,109.35,48.74
ORD0000080,CUST047784,2025-12-22,UPI,Standard,Completed,3419.85,336.61,63.03
ORD0000081,CUST048888,2024-12-11,Credit Card,Standard,Completed,176.48,16.73,74.38
ORD0000082,CUST032617,2024-10-05,Debit Card,Express,Completed,11771.24,1490.16,92.36
ORD0000083,CUST047116,2025-12-23,Debit Card,Express,Completed,624.0,78.11,166.04
ORD0000084,CUST037112,2024-10-19,UPI,Standard,Completed,743.62,66.93,89.49
ORD0000085,CUST031850,2025-01-01,Debit Card,Express,Completed,14532.41,1404.47,100.58
